epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2887,1.35404,4.00272,1.29155,0.00204,0.57143,0.34556,0.22995,1.37909,3.8688,1.10232,0.000286167,0.000286167,0.000286167
2,19.6633,1.2289,3.52641,1.17556,0.00223,0.57143,0.28374,0.21272,1.33688,3.92666,1.11118,0.000530839,0.000530839,0.000530839
3,31.5382,1.14975,3.12593,1.18294,1,0.12563,0.38318,0.30716,1.15217,3.64618,1.12181,0.000715518,0.000715518,0.000715518
4,42.6819,1.10789,2.47076,1.11691,0.84184,0.19048,0.56119,0.45098,1.0196,3.16014,1.09191,0.000639027,0.000639027,0.000639027
5,53.5336,0.99067,1.99567,1.05854,0.75136,0.50921,0.75431,0.58264,0.96495,2.41675,1.04706,0.000549036,0.000549036,0.000549036
6,67.5498,1.05272,1.76802,1.0768,0.68517,0.70554,0.84679,0.60416,0.93042,2.02776,1.0215,0.000459045,0.000459045,0.000459045
7,82.7614,0.97463,1.66346,1.09307,0.53308,0.82962,0.82443,0.62376,0.90601,1.83037,1.0147,0.000369054,0.000369054,0.000369054
8,96.0415,0.8525,1.67774,1.00057,0.63348,0.92647,0.88107,0.63966,0.89679,1.69856,0.99814,0.000279063,0.000279063,0.000279063
9,113.448,0.90718,1.64894,1.04846,0.72817,0.84934,0.87824,0.64653,0.87936,1.76647,0.99186,0.000189072,0.000189072,0.000189072
10,128.483,0.9265,1.57684,1.04099,0.73799,0.85714,0.87393,0.66462,0.86325,1.61156,0.98412,9.9081e-05,9.9081e-05,9.9081e-05
